Name,Scientific_Name,Height,Breadth,City,Description,Pros,Cons,Leaf Color,Lifespan,Type
Banyan Tree,Ficus benghalensis,7.7,18.9,Hyderabad,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,45,Evergreen
Bamboo,Bambusoideae,24.7,3.6,Indore,Tall grass used as building material,"Fast growth, multipurpose",Invasive spread,Light Green,41,Evergreen
Karanj Tree,Pongamia pinnata,7,4.4,Indore,Used for biodiesel and shade,Oil-producing,Messy pods,Green,72,Deciduous
Teakwood,Tectona grandis,7.3,9.1,Lucknow,High-value timber tree,Durable wood,Expensive,Green,246,Deciduous
Teak Tree,Tectona grandis,31.1,17.3,Indore,Timber tree used in furniture,"Strong wood, long lifespan",Slow growth,Green,164,Deciduous
Arjun Tree,Terminalia arjuna,35.9,9.6,Kolkata,Used in traditional medicine,Medicinal bark,Needs moisture,Green,113,Deciduous
Teakwood,Tectona grandis,34.1,11.6,Jaipur,High-value timber tree,Durable wood,Expensive,Green,295,Deciduous
Mango Tree,Mangifera indica,26.9,6.6,Hyderabad,Fruit-bearing tree known for mangoes,"Produces fruit, gives shade",Attracts insects,Green,237,Evergreen
Mahogany,Swietenia macrophylla,23.3,11.6,Kochi,Valuable timber tree,High-quality wood,Slow growing,Green,95,Deciduous
Bael Tree,Aegle marmelos,5.2,15.2,Lucknow,Sacred medicinal tree,Medicinal fruit,Hard shell fruit,Green,108,Deciduous
Papaya Tree,Carica papaya,7.4,5.6,Jaipur,Small tropical fruit tree,Fast fruiting,Short lifespan,Light Green,227,Evergreen
Banyan Tree,Ficus benghalensis,22.6,10.3,Hyderabad,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,60,Evergreen
Gulmohar,Delonix regia,36.7,16.2,Kolkata,Ornamental tree with orange-red flowers,"Beautiful flowers, roadside tree",Weak branches,Red-Green,239,Deciduous
Jackfruit Tree,Artocarpus heterophyllus,38.8,12.7,Nagpur,Tropical fruit tree,Produces large fruit,Needs space,Dark Green,251,Evergreen
Peach Tree,Prunus persica,36.1,17.9,Mumbai,Fruit tree common in hilly areas,Fruit-bearing,Sensitive to frost,Green,109,Deciduous
Bael Tree,Aegle marmelos,16.5,8,Bhopal,Sacred medicinal tree,Medicinal fruit,Hard shell fruit,Green,71,Deciduous
Arjun Tree,Terminalia arjuna,8.8,11,Pune,Used in traditional medicine,Medicinal bark,Needs moisture,Green,222,Deciduous
Neem Tree,Azadirachta indica,29.1,19.7,Goa,Medicinal tree with antibacterial properties,"Medicinal uses, purifies air","Bitter smell, messy fruits",Dark Green,202,Evergreen
Papaya Tree,Carica papaya,6.5,8.4,Patna,Small tropical fruit tree,Fast fruiting,Short lifespan,Light Green,136,Evergreen
Bael Tree,Aegle marmelos,17.6,4.7,Nagpur,Sacred medicinal tree,Medicinal fruit,Hard shell fruit,Green,71,Deciduous
Karanj Tree,Pongamia pinnata,12.3,14.1,Kochi,Used for biodiesel and shade,Oil-producing,Messy pods,Green,263,Deciduous
Peach Tree,Prunus persica,14.9,17,Delhi,Fruit tree common in hilly areas,Fruit-bearing,Sensitive to frost,Green,198,Deciduous
Bael Tree,Aegle marmelos,35.5,18.6,Kolkata,Sacred medicinal tree,Medicinal fruit,Hard shell fruit,Green,150,Deciduous
Amaltas,Cassia fistula,38.7,20.4,Bhopal,"Indian Laburnum tree, national flower tree",Beautiful yellow flowers,Seasonal bloom only,Yellow-Green,82,Deciduous
Karanj Tree,Pongamia pinnata,17.5,18.5,Hyderabad,Used for biodiesel and shade,Oil-producing,Messy pods,Green,300,Deciduous
Banyan Tree,Ficus benghalensis,7.7,16.4,Surat,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,76,Evergreen
Jamun Tree,Syzygium cumini,5.9,10,Delhi,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,275,Evergreen
Sal Tree,Shorea robusta,30,8.6,Bengaluru,Dominant forest tree in Central India,Strong wood,Slow regeneration,Dark Green,175,Deciduous
Gulmohar,Delonix regia,11.5,7.3,Chennai,Ornamental tree with orange-red flowers,"Beautiful flowers, roadside tree",Weak branches,Red-Green,142,Deciduous
Papaya Tree,Carica papaya,28.9,24.5,Delhi,Small tropical fruit tree,Fast fruiting,Short lifespan,Light Green,236,Evergreen
Eucalyptus,Eucalyptus globulus,14.2,20.5,Lucknow,"Aromatic leaves, tall tree","Fast-growing, pest resistant",Depletes groundwater,Grey-Green,216,Evergreen
Papaya Tree,Carica papaya,12,9.7,Pune,Small tropical fruit tree,Fast fruiting,Short lifespan,Light Green,143,Evergreen
Tamarind Tree,Tamarindus indica,37.9,7.1,Pune,Long-living fruit tree,Produces tangy fruit,Slow to grow,Green,295,Deciduous
Karanj Tree,Pongamia pinnata,13.4,10.1,Lucknow,Used for biodiesel and shade,Oil-producing,Messy pods,Green,276,Deciduous
Bamboo,Bambusoideae,27.4,10.6,Delhi,Tall grass used as building material,"Fast growth, multipurpose",Invasive spread,Light Green,103,Evergreen
Jackfruit Tree,Artocarpus heterophyllus,10.8,9.9,Jaipur,Tropical fruit tree,Produces large fruit,Needs space,Dark Green,164,Evergreen
Jamun Tree,Syzygium cumini,6.1,5.7,Coimbatore,Fruit-bearing tree with purple fruits,"Produces edible fruit, medicinal",Stains surfaces,Dark Green,199,Evergreen
Mahogany,Swietenia macrophylla,16.6,16,Pune,Valuable timber tree,High-quality wood,Slow growing,Green,116,Deciduous
Peach Tree,Prunus persica,32.9,11.9,Pune,Fruit tree common in hilly areas,Fruit-bearing,Sensitive to frost,Green,144,Deciduous
Coconut Tree,Cocos nucifera,26.6,20.7,Delhi,Tropical palm grown for coconuts,Provides fruit and oil,Vulnerable to cyclones,Green,108,Evergreen
Peepal Tree,Ficus religiosa,23.4,22.2,Chennai,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,281,Deciduous
Teakwood,Tectona grandis,15,17.8,Delhi,High-value timber tree,Durable wood,Expensive,Green,258,Deciduous
Peach Tree,Prunus persica,6.9,10.9,Guwahati,Fruit tree common in hilly areas,Fruit-bearing,Sensitive to frost,Green,150,Deciduous
Teakwood,Tectona grandis,7.1,23.1,Kochi,High-value timber tree,Durable wood,Expensive,Green,292,Deciduous
Bamboo,Bambusoideae,6.7,3.1,Guwahati,Tall grass used as building material,"Fast growth, multipurpose",Invasive spread,Light Green,178,Evergreen
Amaltas,Cassia fistula,24.3,9,Chennai,"Indian Laburnum tree, national flower tree",Beautiful yellow flowers,Seasonal bloom only,Yellow-Green,128,Deciduous
Mahogany,Swietenia macrophylla,5.9,14.4,Coimbatore,Valuable timber tree,High-quality wood,Slow growing,Green,137,Deciduous
Teakwood,Tectona grandis,12.6,13.5,Guwahati,High-value timber tree,Durable wood,Expensive,Green,210,Deciduous
Karanj Tree,Pongamia pinnata,19.7,22.3,Nagpur,Used for biodiesel and shade,Oil-producing,Messy pods,Green,78,Deciduous
Gulmohar,Delonix regia,15.2,21.5,Kochi,Ornamental tree with orange-red flowers,"Beautiful flowers, roadside tree",Weak branches,Red-Green,242,Deciduous
Karanj Tree,Pongamia pinnata,6.5,16.2,Surat,Used for biodiesel and shade,Oil-producing,Messy pods,Green,274,Deciduous
Teakwood,Tectona grandis,12.1,12.1,Bengaluru,High-value timber tree,Durable wood,Expensive,Green,83,Deciduous
Banyan Tree,Ficus benghalensis,14,3.9,Lucknow,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,220,Evergreen
Banyan Tree,Ficus benghalensis,9.4,9.2,Mumbai,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,101,Evergreen
Banyan Tree,Ficus benghalensis,18.5,23.8,Patna,"India’s national tree, large canopy and aerial roots","Provides large shade, supports biodiversity",Needs large space,Green,226,Evergreen
Mango Tree,Mangifera indica,26.7,22.9,Hyderabad,Fruit-bearing tree known for mangoes,"Produces fruit, gives shade",Attracts insects,Green,221,Evergreen
Kadamba,Neolamarckia cadamba,38.7,6,Surat,Rain tree with orange flowers,Fragrant flowers,Needs humidity,Green,266,Evergreen
Peepal Tree,Ficus religiosa,20.7,15.2,Patna,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,85,Deciduous
Teak Tree,Tectona grandis,31.6,19.2,Goa,Timber tree used in furniture,"Strong wood, long lifespan",Slow growth,Green,294,Deciduous
Teakwood,Tectona grandis,20.9,20.8,Delhi,High-value timber tree,Durable wood,Expensive,Green,207,Deciduous
Peepal Tree,Ficus religiosa,35.3,7.6,Kochi,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,171,Deciduous
Peepal Tree,Ficus religiosa,33,22.7,Pune,Sacred tree in Hinduism and Buddhism,"Improves oxygen levels, long life",Roots damage pavements,Green,300,Deciduous
